StateCode,Division,YearMonth,TAVG,TMIN,TMAX,PCP,PDSI,PHDI,ZNDX,PMDI,CDD,HDD,SP01,SP02,SP03,SP06,SP09,SP12,SP24
41,0,189512,45.40,32.10,58.60,1.51,2.35,2.35,0.19,1.93,4.00,524.00,-0.08,0.34,0.20,-0.04,0.38,0.21,-99.99
41,0,189601,45.20,33.70,56.70,2.22,2.53,2.53,1.26,2.50,9.00,543.00,0.86,0.40,0.58,-0.10,0.74,0.37,-99.99
41,0,189602,49.40,35.50,63.40,2.06,2.63,2.63,1.10,2.63,10.00,382.00,0.66,0.92,0.59,-0.16,0.51,0.41,-99.99
41,0,189603,53.80,40.40,67.20,0.83,-0.20,2.16,-0.61,1.84,27.00,317.00,-1.07,-0.27,0.21,0.19,0.04,0.38,-99.99
41,0,189604,67.30,55.50,79.00,2.05,-0.23,1.89,-0.15,1.45,155.00,36.00,-0.03,-0.60,-0.21,0.16,-0.24,0.52,-99.99
41,0,189605,77.40,65.10,89.60,0.74,-1.58,-1.58,-4.13,-1.58,413.00,1.00,-2.79,-1.82,-2.20,-0.85,-0.97,-0.31,-99.99
41,0,189606,82.00,68.50,95.50,1.09,-2.67,-2.67,-3.76,-2.67,545.00,0.00,-1.57,-2.92,-2.32,-1.36,-0.83,-0.86,-99.99
41,0,189607,82.00,70.60,93.40,1.72,-3.15,-3.15,-2.25,-3.15,593.00,0.00,-0.56,-1.47,-2.51,-1.90,-1.02,-1.13,-99.99
41,0,189608,82.90,69.30,96.50,1.15,-3.71,-3.71,-2.64,-3.71,604.00,0.00,-1.16,-1.21,-1.77,-2.82,-1.60,-1.46,-99.99
41,0,189609,75.30,62.80,87.90,4.54,-2.71,-2.71,1.85,-1.93,374.00,2.00,1.16,0.31,-0.10,-1.46,-1.09,-0.75,-99.99
41,0,189610,63.40,52.40,74.30,3.64,-1.87,-1.87,1.69,-0.40,109.00,78.00,0.79,1.19,0.63,-1.01,-0.95,-0.55,-99.99
41,0,189611,53.80,42.30,65.20,0.87,-2.01,-2.01,-0.99,-0.92,32.00,264.00,-0.88,0.19,0.73,-0.56,-1.31,-0.92,-99.99
41,0,189612,48.50,35.20,61.70,1.34,-2.06,-2.06,-0.79,-1.24,6.00,457.00,-0.27,-0.82,-0.02,-0.15,-1.16,-0.94,-0.48
41,0,189701,40.80,30.20,51.30,1.71,-1.78,-1.78,0.20,-0.87,5.00,655.00,0.34,-0.09,-0.59,0.13,-1.12,-1.08,-0.45
41,0,189702,51.30,38.10,64.50,0.44,-2.33,-2.33,-2.18,-2.07,21.00,326.00,-1.48,-0.66,-0.72,0.14,-0.80,-1.44,-0.63
41,0,189703,59.10,46.10,72.00,2.51,-1.83,-1.83,0.77,-1.22,99.00,164.00,0.94,-0.22,-0.04,-0.09,-0.17,-1.08,-0.44
41,0,189704,64.50,50.30,78.60,1.93,-1.77,-1.77,-0.39,-1.27,107.00,61.00,-0.15,0.41,-0.24,-0.58,-0.07,-1.11,-0.37
41,0,189705,71.50,58.90,84.20,3.23,-1.70,-1.70,-0.32,-1.27,252.00,7.00,0.06,-0.14,0.27,-0.25,0.17,-0.58,-0.62
41,0,189706,79.70,67.20,92.20,3.00,-1.64,-1.64,-0.35,-1.26,486.00,0.00,0.20,0.10,-0.06,-0.05,-0.15,-0.17,-0.77
41,0,189707,83.40,69.50,97.40,1.43,-2.08,-2.08,-1.83,-2.08,630.00,0.00,-0.90,-0.43,-0.38,-0.43,-0.60,-0.19,-1.07
41,0,189708,80.30,67.80,92.80,3.00,-1.59,-1.59,0.82,-1.15,543.00,0.00,0.72,-0.14,-0.08,0.12,-0.22,0.12,-1.05
41,0,189709,74.50,60.90,88.00,1.84,-1.92,-1.92,-1.48,-1.92,339.00,1.00,-0.77,-0.14,-0.61,-0.49,-0.40,-0.37,-0.95
41,0,189710,68.10,54.30,81.90,2.11,-1.99,-1.99,-0.80,-1.99,194.00,33.00,-0.11,-0.65,-0.28,-0.51,-0.55,-0.68,-0.98
41,0,189711,55.70,40.50,70.90,0.42,-2.61,-2.61,-2.49,-2.61,31.00,249.00,-1.60,-0.91,-1.24,-0.91,-0.60,-0.80,-1.26
41,0,189712,44.00,31.10,56.90,1.70,-2.43,-2.43,-0.25,-2.43,1.00,589.00,0.13,-0.89,-0.72,-0.99,-0.80,-0.72,-1.04
41,0,189801,47.90,35.00,60.70,1.60,-2.41,-2.41,-0.68,-2.41,18.00,460.00,0.22,0.09,-0.70,-0.65,-0.77,-0.77,-1.16
41,0,189802,52.00,38.30,65.70,1.28,-2.58,-2.58,-1.26,-2.58,20.00,319.00,-0.28,-0.06,-0.07,-0.96,-0.83,-0.59,-1.30
41,0,189803,56.50,44.60,68.40,1.57,-2.38,-2.38,-0.21,-2.38,47.00,241.00,-0.09,-0.30,-0.15,-0.62,-0.93,-0.81,-1.24
41,0,189804,63.60,50.60,76.70,2.04,-2.22,-2.22,-0.25,-2.22,79.00,83.00,-0.04,-0.07,-0.24,-0.64,-0.70,-0.80,-1.31
41,0,189805,73.20,61.30,85.10,2.32,-2.69,-2.69,-2.11,-2.69,299.00,2.00,-0.70,-0.62,-0.55,-0.46,-1.03,-0.96,-1.11
41,0,189806,79.30,68.50,90.20,4.86,-1.97,-1.97,1.34,-1.35,471.00,0.00,1.40,0.55,0.36,0.19,-0.31,-0.55,-0.53
41,0,189807,81.10,69.50,92.70,2.41,-1.87,-1.87,-0.30,-1.32,542.00,0.00,0.13,1.08,0.46,0.15,-0.20,-0.31,-0.41
41,0,189808,80.40,67.80,93.00,2.45,-1.63,-1.63,0.13,-0.99,533.00,0.00,0.30,0.13,0.99,0.28,0.16,-0.42,-0.22
41,0,189809,75.80,62.70,88.80,1.75,-2.06,-2.06,-1.79,-2.06,397.00,1.00,-0.85,-0.50,-0.46,-0.07,-0.12,-0.45,-0.69
41,0,189810,64.60,48.90,80.30,1.02,-2.39,-2.39,-1.63,-2.39,111.00,69.00,-1.05,-1.36,-1.02,-0.45,-0.50,-0.67,-1.07
41,0,189811,50.50,37.50,63.60,1.48,-2.21,-2.21,-0.18,-2.21,10.00,368.00,-0.17,-0.93,-1.30,-0.28,-0.50,-0.49,-0.98
41,0,189812,41.60,29.80,53.40,1.85,-1.85,-1.85,0.40,-1.60,1.00,634.00,0.28,-0.07,-0.67,-0.85,-0.45,-0.45,-0.76
41,0,189901,43.20,30.80,55.50,1.30,-1.79,-1.79,-0.38,-1.65,7.00,602.00,-0.13,-0.02,-0.22,-0.91,-0.51,-0.54,-0.83
41,0,189902,39.20,25.90,52.40,0.53,-1.97,-1.97,-1.11,-1.97,0.00,661.00,-1.34,-0.95,-0.60,-1.29,-0.52,-0.69,-0.84
41,0,189903,57.50,43.20,71.90,0.59,-2.37,-2.37,-1.81,-2.37,65.00,221.00,-1.43,-1.77,-1.35,-1.21,-1.33,-0.92,-1.13
41,0,189904,63.20,50.90,75.50,2.08,-2.23,-2.23,-0.30,-2.23,84.00,87.00,0.00,-0.78,-1.34,-0.88,-1.33,-0.92,-1.17
41,0,189905,75.60,63.40,87.80,2.29,-2.88,-2.88,-2.65,-2.88,387.00,1.00,-0.73,-0.62,-1.12,-1.13,-1.50,-0.90,-1.36
41,0,189906,79.50,68.20,90.80,5.60,-1.84,-1.84,2.23,-0.86,465.00,0.00,1.80,0.87,0.64,-0.18,-0.55,-0.72,-0.96
41,0,189907,81.60,70.00,93.10,3.05,-1.42,-1.42,0.68,-0.15,553.00,0.00,0.67,1.72,1.01,0.05,-0.07,-0.53,-0.69
41,0,189908,84.50,70.60,98.40,0.70,-2.27,-2.27,-2.99,-2.12,641.00,0.00,-2.10,-0.60,0.82,-0.12,-0.37,-0.85,-1.03
41,0,189909,75.90,62.50,89.30,1.82,-2.63,-2.63,-1.76,-2.63,359.00,1.00,-0.79,-1.60,-0.93,-0.16,-0.69,-0.85,-1.09
41,0,189910,67.30,54.40,80.20,2.51,-2.42,-2.42,-0.20,-2.42,183.00,38.00,0.16,-0.45,-1.10,-0.12,-0.62,-0.60,-1.01
41,0,189911,55.40,42.90,67.70,2.31,0.15,-2.02,0.46,-1.76,30.00,248.00,0.56,0.33,-0.19,0.30,-0.25,-0.46,-0.76
41,0,189912,45.10,34.10,56.00,2.66,0.63,-1.32,1.49,-0.35,5.00,527.00,0.99,0.87,0.59,-0.22,0.18,-0.29,-0.51
41,0,190001,47.30,37.10,57.60,2.23,0.91,-0.84,1.01,0.55,13.00,479.00,0.87,1.17,1.05,-0.18,0.36,-0.13,-0.44
41,0,190002,47.10,34.70,59.40,1.00,0.68,-0.89,-0.40,0.29,7.00,434.00,-0.65,0.20,0.64,0.14,0.51,-0.03,-0.48
41,0,190003,56.30,45.10,67.60,2.85,1.31,1.31,2.11,1.31,45.00,245.00,1.26,0.47,0.72,0.74,0.13,0.39,-0.33
41,0,190004,63.80,52.50,75.10,5.27,2.77,2.77,4.79,2.77,97.00,71.00,1.97,1.93,1.58,1.67,0.68,1.04,0.13
41,0,190005,72.10,60.90,83.20,4.24,3.10,3.10,1.84,3.10,265.00,6.00,0.75,1.80,1.85,1.72,1.16,1.39,0.42
41,0,190006,81.20,68.70,93.60,2.05,2.92,2.92,0.43,2.92,510.00,0.00,-0.58,0.13,1.19,1.20,1.14,0.70,0.03
41,0,190007,81.20,71.00,91.30,4.49,3.84,3.84,3.66,3.84,519.00,0.00,1.71,0.72,0.94,1.54,1.62,0.91,0.33
41,0,190008,80.90,70.30,91.60,2.79,4.04,4.04,1.79,4.04,518.00,0.00,0.57,1.55,0.81,1.79,1.69,1.22,0.37
41,0,190009,78.80,68.80,88.90,5.10,4.36,4.36,2.20,4.36,466.00,0.00,1.48,1.34,2.06,2.11,1.94,1.75,0.84
41,0,190010,67.30,56.20,78.40,3.01,4.11,4.11,0.59,4.11,196.00,33.00,0.45,1.17,1.18,1.46,1.85,1.90,1.10
41,0,190011,55.50,43.50,67.40,1.16,-0.37,3.32,-1.10,2.84,41.00,225.00,-0.51,0.03,0.80,1.04,1.77,1.78,1.05
41,0,190012,46.20,33.90,58.50,0.85,-0.81,2.49,-1.46,1.40,6.00,470.00,-0.96,-0.97,-0.37,1.07,1.41,1.45,0.72
41,0,190101,48.00,35.60,60.40,0.46,-1.55,1.42,-2.45,-0.59,20.00,436.00,-1.39,-1.57,-1.39,0.16,0.59,1.19,0.65
41,0,190102,46.20,34.30,58.10,1.43,-1.67,0.99,-0.84,-1.22,6.00,465.00,-0.09,-0.89,-1.22,-0.01,0.38,1.26,0.78
41,0,190103,55.40,40.60,70.20,0.96,-1.85,-1.85,-1.06,-1.85,44.00,258.00,-0.88,-0.67,-1.09,-0.87,0.41,0.92,0.85
41,0,190104,62.60,49.40,75.80,1.48,-2.05,-2.05,-1.16,-2.05,73.00,95.00,-0.63,-0.99,-0.86,-1.37,-0.29,0.18,0.87
41,0,190105,72.50,59.70,85.30,2.81,-2.42,-2.42,-1.76,-2.42,275.00,5.00,-0.27,-0.67,-0.93,-1.39,-0.48,-0.10,0.95
41,0,190106,81.90,69.00,94.80,0.93,-3.60,-3.60,-4.28,-3.60,519.00,0.00,-1.77,-1.34,-1.48,-1.74,-1.33,-0.29,0.33
41,0,190107,83.90,71.90,95.90,2.54,-3.71,-3.71,-1.46,-3.71,609.00,0.00,0.24,-1.03,-1.03,-1.25,-1.57,-0.62,0.27
41,0,190108,83.70,71.10,96.40,1.44,-4.09,-4.09,-2.28,-4.09,617.00,0.00,-0.74,-0.44,-1.30,-1.59,-1.73,-0.86,0.36
41,0,190109,76.10,64.50,87.60,3.03,-3.75,-3.75,-0.24,-3.75,374.00,1.00,0.17,-0.35,-0.28,-1.16,-1.45,-1.26,0.52
41,0,190110,68.20,55.60,80.80,1.43,-3.91,-3.91,-1.65,-3.91,182.00,32.00,-0.64,-0.38,-0.72,-1.22,-1.40,-1.67,0.32
41,0,190111,56.40,43.60,69.20,1.31,-3.92,-3.92,-1.23,-3.92,35.00,228.00,-0.35,-0.77,-0.56,-1.24,-1.50,-1.75,0.15
41,0,190112,45.50,32.00,58.90,0.88,-4.05,-4.05,-1.60,-4.05,6.00,521.00,-0.91,-0.84,-1.01,-0.95,-1.47,-1.73,-0.08
41,0,190201,44.60,31.80,57.30,0.68,-4.32,-4.32,-2.06,-4.32,10.00,575.00,-1.01,-1.33,-1.16,-1.26,-1.52,-1.69,-0.26
41,0,190202,47.30,34.50,60.10,0.76,-4.56,-4.56,-2.05,-4.56,7.00,455.00,-0.99,-1.33,-1.52,-1.24,-1.67,-1.86,-0.28
41,0,190203,57.00,43.90,70.10,1.36,-4.36,-4.36,-0.82,-4.36,64.00,220.00,-0.35,-0.90,-1.12,-1.32,-1.32,-1.72,-0.49
41,0,190204,67.90,55.20,80.70,1.52,-4.67,-4.67,-2.28,-4.67,167.00,33.00,-0.58,-0.60,-1.02,-1.31,-1.50,-1.73,-1.05
41,0,190205,75.60,64.10,87.10,3.58,-4.83,-4.83,-1.90,-4.83,368.00,1.00,0.31,-0.18,-0.27,-1.08,-1.11,-1.56,-1.18
41,0,190206,82.30,69.60,94.90,1.53,-5.69,-5.69,-4.07,-5.69,533.00,0.00,-1.08,-0.49,-0.74,-1.19,-1.34,-1.41,-1.29
41,0,190207,81.10,70.70,91.40,4.94,-4.40,-4.40,2.09,-3.58,527.00,0.00,1.99,0.69,0.65,-0.08,-0.57,-0.83,-1.20
41,0,190208,83.70,71.60,95.90,0.66,-5.14,-5.14,-3.56,-5.14,617.00,0.00,-2.22,0.59,-0.22,-0.34,-0.90,-0.96,-1.52
41,0,190209,74.30,62.30,86.20,3.69,0.31,-4.30,0.92,-3.90,339.00,5.00,0.63,-0.42,0.72,-0.05,-0.49,-0.84,-1.77
41,0,190210,66.30,53.30,79.40,2.06,0.07,-4.06,-0.62,-3.84,151.00,51.00,-0.15,0.23,-0.51,0.02,-0.40,-0.76,-1.82
41,0,190211,58.20,48.00,68.30,4.67,1.29,-2.42,3.68,-0.79,70.00,172.00,2.01,1.11,1.18,0.74,0.42,-0.12,-1.31
41,0,190212,46.10,35.40,56.90,1.53,1.28,-2.05,0.38,-0.30,10.00,486.00,-0.05,1.48,0.86,1.11,0.43,0.01,-1.02
41,0,190301,45.10,34.10,56.20,1.90,1.48,-1.50,1.00,0.53,10.00,548.00,0.54,0.19,1.47,0.49,0.69,0.23,-0.89
41,0,190302,43.80,34.00,53.60,4.08,2.95,2.95,4.84,2.95,6.00,502.00,2.61,1.91,1.42,1.64,1.27,0.86,-0.56
41,0,190303,54.30,43.60,64.90,2.11,3.09,3.09,1.33,3.09,36.00,280.00,0.52,2.09,1.69,1.46,1.73,1.01,-0.43
41,0,190304,64.00,51.70,76.30,0.94,2.39,2.39,-1.13,1.87,90.00,73.00,-1.45,-0.47,0.83,1.35,0.75,0.92,-0.52
41,0,190305,69.90,59.10,80.80,2.29,1.93,1.93,-0.63,1.11,210.00,12.00,-0.73,-1.44,-0.88,0.28,0.82,0.65,-0.59
41,0,190306,73.70,62.80,84.70,3.96,2.52,2.52,2.36,2.52,313.00,1.00,0.86,0.11,-0.48,0.63,0.83,1.08,-0.13
41,0,190307,81.50,70.10,92.90,3.88,3.47,3.47,3.63,3.47,516.00,0.00,1.30,1.35,0.68,0.90,1.29,0.85,0.07
41,0,190308,81.10,69.90,92.20,2.12,3.43,3.43,0.95,3.43,525.00,0.00,0.00,0.83,1.10,0.18,0.73,1.06,0.16
41,0,190309,74.20,62.00,86.30,2.09,-0.31,2.77,-0.93,2.34,322.00,3.00,-0.55,-0.50,0.20,-0.24,0.59,0.79,-0.01
41,0,190310,63.70,50.60,76.90,1.70,-0.48,2.28,-0.61,1.56,99.00,82.00,-0.42,-0.74,-0.72,-0.10,0.29,0.78,-0.01
41,0,190311,53.90,39.50,68.20,0.11,-1.31,1.17,-2.63,-0.60,23.00,293.00,-2.35,-1.44,-1.49,-0.31,-0.66,-0.04,-0.21
41,0,190312,46.80,32.70,60.80,0.83,-1.74,-1.74,-1.70,-1.74,5.00,486.00,-0.99,-1.87,-1.53,-0.92,-0.98,-0.17,-0.16
41,0,190401,44.00,29.50,58.60,0.56,-2.28,-2.28,-2.15,-2.28,7.00,578.00,-1.21,-1.49,-1.95,-1.71,-0.95,-0.47,-0.18
41,0,190402,53.40,38.40,68.40,1.04,-2.82,-2.82,-2.34,-2.82,27.00,292.00,-0.60,-1.17,-1.44,-1.83,-0.85,-1.10,-0.13
41,0,190403,62.00,47.70,76.30,0.66,-3.54,-3.54,-3.03,-3.54,109.00,139.00,-1.32,-1.25,-1.46,-1.81,-1.43,-1.41,-0.23
41,0,190404,65.00,52.10,78.00,2.04,-3.62,-3.62,-1.35,-3.62,114.00,64.00,-0.04,-0.75,-0.95,-1.73,-1.83,-1.19,-0.15
41,0,190405,71.50,59.30,83.80,3.91,-3.36,-3.36,-0.32,-3.36,245.00,7.00,0.54,0.28,-0.20,-0.98,-1.49,-0.84,-0.08
41,0,190406,78.00,66.80,89.10,4.24,-2.97,-2.97,0.14,-2.85,432.00,0.00,1.03,0.98,0.72,-0.16,-0.90,-0.75,0.31
41,0,190407,80.30,68.90,91.70,2.49,-2.99,-2.99,-0.99,-2.99,509.00,0.00,0.20,0.82,0.89,0.12,-0.74,-0.97,-0.03
41,0,190408,80.10,68.60,91.70,2.06,-2.94,-2.94,-0.79,-2.94,499.00,0.00,-0.05,-0.07,0.56,0.21,-0.41,-0.95,0.17
41,0,190409,76.10,66.00,86.10,4.10,-2.26,-2.26,1.14,-1.73,410.00,1.00,0.89,0.55,0.44,0.78,0.08,-0.59,0.19
41,0,190410,66.00,53.60,78.50,2.37,-2.09,-2.09,-0.19,-1.59,167.00,43.00,0.07,0.54,0.33,0.77,0.24,-0.48,0.20
41,0,190411,54.10,40.50,67.60,0.81,-2.43,-2.43,-1.67,-2.43,24.00,267.00,-0.96,-0.50,0.07,0.32,0.13,-0.36,-0.38
41,0,190412,46.40,33.60,59.20,1.51,-2.43,-2.43,-0.74,-2.43,7.00,480.00,-0.08,-0.74,-0.51,-0.13,0.29,-0.22,-0.30
41,0,190501,42.20,30.70,53.60,1.17,-2.51,-2.51,-0.99,-2.51,7.00,642.00,-0.30,-0.38,-0.82,-0.24,0.24,-0.13,-0.40
41,0,190502,38.00,27.30,48.80,2.09,0.31,-1.94,0.93,-1.48,1.00,695.00,0.69,0.22,0.04,0.00,0.26,0.09,-0.65
41,0,190503,59.20,48.80,69.50,3.74,1.22,-0.80,2.83,0.91,73.00,182.00,2.05,1.85,1.17,0.24,0.43,0.67,-0.46
41,0,190504,62.70,51.50,73.90,4.97,2.56,2.56,4.40,2.56,97.00,83.00,1.83,2.13,2.14,1.08,1.02,1.27,0.10
41,0,190505,73.70,62.90,84.40,3.88,2.65,2.65,1.06,2.65,332.00,3.00,0.52,1.55,1.92,1.50,1.11,1.23,0.35
41,0,190506,79.70,68.90,90.50,3.56,3.15,3.15,2.30,3.15,475.00,0.00,0.60,0.67,1.47,1.60,0.94,1.07,0.30
41,0,190507,79.90,68.60,91.20,3.76,4.04,4.04,3.65,4.04,491.00,0.00,1.21,1.11,1.11,2.01,1.31,1.22,0.29
41,0,190508,82.40,70.40,94.30,1.29,3.51,3.51,-0.35,3.31,587.00,0.00,-0.94,0.25,0.48,1.68,1.38,1.06,0.17
41,0,190509,77.50,65.60,89.30,2.44,2.77,2.77,-1.12,2.09,442.00,1.00,-0.27,-0.79,-0.07,1.06,1.33,0.78,0.19
41,0,190510,64.80,53.50,76.00,2.03,2.35,2.35,-0.39,1.48,141.00,63.00,-0.17,-0.37,-0.78,0.16,1.26,0.77,0.20
41,0,190511,56.70,46.30,67.10,3.00,2.57,2.57,1.39,2.18,50.00,210.00,1.05,0.43,0.15,0.32,1.35,1.20,0.60
41,0,190512,41.40,30.60,52.10,2.53,2.91,2.91,1.80,2.91,1.00,639.00,0.88,1.15,0.62,0.38,1.11,1.35,0.69
41,0,190601,46.00,32.20,59.90,0.86,2.40,2.40,-0.64,2.07,10.00,526.00,-0.73,0.16,0.66,-0.20,0.41,1.35,0.76
41,0,190602,47.30,34.80,59.70,1.38,2.16,2.16,0.03,1.79,6.00,446.00,-0.15,-0.58,0.04,0.06,0.26,1.21,0.83
41,0,190603,52.20,39.30,65.10,1.26,2.00,2.00,0.18,1.64,22.00,358.00,-0.47,-0.47,-0.70,0.06,-0.02,0.75,0.92
41,0,190604,65.10,53.60,76.50,2.55,2.04,2.04,0.74,1.91,122.00,55.00,0.39,0.05,-0.08,0.28,-0.26,0.28,1.10
41,0,190605,72.40,60.40,84.40,2.67,1.64,1.64,-0.57,1.20,283.00,6.00,-0.39,-0.11,-0.26,-0.22,-0.16,0.05,0.94
41,0,190606,79.80,67.30,92.40,2.44,1.43,1.43,-0.11,0.89,494.00,0.00,-0.24,-0.49,-0.27,-0.57,-0.14,-0.15,0.72
41,0,190607,79.40,68.70,90.00,4.56,2.38,2.38,3.30,2.38,506.00,0.00,1.75,0.95,0.50,0.26,0.47,0.03,0.99
41,0,190608,79.20,68.40,89.90,3.74,3.20,3.20,3.19,3.20,497.00,0.00,1.21,2.10,1.46,0.71,0.55,0.43,1.18
41,0,190609,75.80,64.70,87.00,3.35,3.03,3.03,0.48,3.03,402.00,1.00,0.40,0.99,1.75,0.90,0.46,0.58,1.15
41,0,190610,60.90,47.30,74.40,2.17,2.83,2.83,0.34,2.83,64.00,123.00,-0.07,0.13,0.60,0.71,0.50,0.64,1.09
41,0,190611,53.10,41.00,65.20,1.88,2.66,2.66,0.37,2.66,34.00,270.00,0.20,-0.03,0.12,0.91,0.55,0.47,1.26
41,0,190612,52.00,40.70,63.30,1.59,-0.20,2.19,-0.60,1.87,22.00,338.00,0.01,0.02,-0.11,1.03,0.59,0.29,1.01
41,0,190701,53.30,41.20,65.30,0.91,-0.82,1.32,-1.92,0.15,50.00,317.00,-0.65,-0.52,-0.35,0.24,0.40,0.29,1.01
41,0,190702,52.40,36.60,68.10,0.85,-1.39,-1.39,-1.97,-1.39,20.00,317.00,-0.86,-1.01,-0.81,-0.39,0.42,0.19,0.89
41,0,190703,65.20,51.20,79.10,1.03,-2.21,-2.21,-2.87,-2.21,166.00,85.00,-0.78,-1.10,-1.12,-0.70,0.37,0.12,0.58
41,0,190704,63.00,49.20,76.80,1.86,-2.29,-2.29,-0.93,-2.29,78.00,90.00,-0.21,-0.59,-0.95,-0.79,-0.25,-0.02,0.22
41,0,190705,67.90,56.10,79.60,4.93,-1.32,-1.32,2.19,-0.29,161.00,28.00,1.17,0.69,0.33,-0.25,-0.19,0.44,0.39
41,0,190706,78.90,66.10,91.90,1.86,-1.74,-1.74,-1.65,-1.39,449.00,0.00,-0.75,0.37,0.14,-0.48,-0.48,0.34,0.16
41,0,190707,81.00,69.60,92.50,3.11,-1.44,-1.44,0.35,-0.90,542.00,0.00,0.72,-0.12,0.59,-0.09,-0.24,0.08,0.08
41,0,190708,82.90,70.20,95.50,1.50,-1.87,-1.87,-1.73,-1.87,591.00,0.00,-0.66,-0.03,-0.54,-0.12,-0.46,-0.34,0.10
41,0,190709,77.30,63.40,91.20,1.28,-2.58,-2.58,-2.69,-2.58,425.00,1.00,-1.29,-1.41,-0.78,-0.45,-0.85,-0.73,-0.11
41,0,190710,66.00,56.00,76.10,4.95,0.98,-1.33,2.95,-0.01,152.00,53.00,1.39,0.44,0.03,0.35,-0.11,-0.23,0.29
41,0,190711,51.00,40.60,61.30,4.11,2.38,2.38,4.49,2.38,10.00,354.00,1.72,1.88,1.16,0.53,0.55,0.20,0.43
41,0,190712,48.50,36.40,60.60,1.43,2.40,2.40,0.79,2.40,8.00,438.00,-0.17,1.16,1.57,0.77,0.61,0.17,0.22
41,0,190801,47.60,35.00,60.20,0.88,2.15,2.15,0.01,2.09,16.00,478.00,-0.70,-0.68,0.68,0.39,0.57,0.15,0.24
41,0,190802,49.70,37.20,62.10,1.84,2.29,2.29,1.07,2.29,11.00,386.00,0.41,-0.19,-0.32,0.70,0.29,0.35,0.32
41,0,190803,62.10,48.90,75.40,1.24,1.64,1.64,-1.24,1.03,116.00,128.00,-0.50,-0.12,-0.43,0.98,0.43,0.37,0.33
41,0,190804,65.50,53.90,77.00,4.22,2.46,2.46,2.98,2.46,147.00,51.00,1.45,0.91,0.90,0.92,0.71,0.85,0.61
41,0,190805,72.50,59.90,85.10,4.72,3.01,3.01,2.41,3.01,288.00,6.00,1.05,1.58,1.19,0.70,1.12,0.80,0.90
41,0,190806,80.50,68.90,92.20,2.10,2.89,2.89,0.56,2.89,492.00,0.00,-0.53,0.39,1.02,0.55,1.21,0.82,0.87
41,0,190807,79.80,68.40,91.10,3.47,3.51,3.51,2.76,3.51,508.00,0.00,1.00,0.21,0.75,0.99,1.03,0.85,0.72
41,0,190808,80.10,68.50,91.70,2.91,3.82,3.82,2.02,3.82,523.00,0.00,0.66,1.05,0.42,1.08,0.73,1.04,0.60
41,0,190809,74.40,61.70,87.20,2.53,-0.12,3.31,-0.36,3.11,340.00,2.00,-0.20,0.18,0.56,1.08,0.71,1.25,0.49
41,0,190810,63.30,48.80,77.70,1.37,-0.42,2.66,-0.93,2.04,92.00,86.00,-0.70,-0.68,-0.34,0.20,0.56,0.70,0.33
41,0,190811,54.80,40.60,68.90,1.92,-0.35,2.40,0.06,1.76,35.00,242.00,0.24,-0.44,-0.54,-0.19,0.52,0.33,0.31
41,0,190812,49.60,37.20,62.10,0.82,-0.87,1.61,-1.65,0.31,14.00,391.00,-1.00,-0.45,-0.78,-0.23,0.40,0.21,0.17
41,0,190901,50.40,37.10,63.60,0.14,-1.81,-1.81,-3.09,-1.81,28.00,402.00,-2.07,-1.91,-1.16,-0.96,-0.38,0.05,0.09
41,0,190902,52.00,37.10,67.00,0.71,-2.51,-2.51,-2.66,-2.51,21.00,316.00,-1.07,-1.97,-2.01,-1.44,-0.93,-0.16,0.09
